occurrence_id,paper_key,title,year,object_name,alternate_object_names,ra_deg,dec_deg,classification,candidate_quality,population_tier,primary_flag,region,table_role,source_url,retrieval_status,notes,input_dataset
OCC-04661,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3017533589972608384,,90.1921581300,-8.6156521500,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04662,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 2999324753999197440,,90.2594664300,-9.9849259700,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04663,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 2999326368906892160,,90.3002523500,-9.9534365300,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04664,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 2999326300187416832,,90.3071600400,-9.9631845400,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04665,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 2999326330250615552,,90.3203105600,-9.9486679100,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04666,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 2994149868162912256,,90.3772465600,-14.3053434400,QPD,false,automated_yso_dipper_allsky,no,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04667,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3005331450443713792,,90.4136182000,-9.9185494200,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04668,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3005408970309918592,,90.4570621800,-9.4265152600,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04669,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3017460579823848960,,90.4574448400,-9.0090032400,QPD,false,automated_yso_dipper_allsky,no,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04670,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3005332103278779136,,90.4664790300,-9.8731887400,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04671,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3005327228491752192,,90.4873190200,-9.9748329700,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04672,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3017632099340955136,,90.5405560500,-8.4873979200,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04673,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3017455975619075840,,90.5459125600,-9.0954811400,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04674,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3005314717251208960,,90.5840367000,-10.0177258600,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
