source,source_key,tde_id,name,aliases,ra_deg,dec_deg,redshift,discovery_mjd,peak_mjd_ref,discovery_survey,class_label,confidence,host_name,log_mbh,notes,mag_value,mag_band,mag_basis,include_flag
otter,6575913,at2022dbl,AT 2022dbl,AT 2022dbl;ATLAS18bcnl;PS22cdn;Gaia22bdt;2018mac;ZTF18aabdajx;ASASSN-22ci,185.1878251,49.5512224,0.0284,58254.20157,59637.0,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575917,at2019pqt,AT 2019pqt,AT 2019pqt;Gaia19dya;MAXI J1807+132,272.03145416666666,13.2515,,57827.0,,optical,tde_candidate,likely,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575921,at2024qab,AT 2024qab,AT 2024qab;GOTO24dts;ZTF24aatxshz;ATLAS24lsw;AT2023qab,273.5258,36.2499152,0.1398,60476.37518519676,60518.958333333365,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575923,j113527,J113527,J113527,173.86370833333334,39.46963888888889,0.1084,54928.0,,optical,tde,secure,SDSS J113527.29+392810.7,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575927,at2021qxv,AT 2021qxv,AT 2021qxv;PS21grp,229.74708333333334,-3.1958333333333333,0.183,59344.452,,optical,tde,secure,WISEA J151859.45-031145.6,,source=OTTER; TDE; mag_basis=OTTER optical photometry (2023ApJS..266....9A); mag_value=19.731; mag_band=ztf.g,19.731,ztf.g,OTTER optical photometry (2023ApJS..266....9A),False
otter,6575929,at2021jjm,AT 2021jjm,AT 2021jjm;ATLAS21mwd;PS21fhy;ZTF21aauuybx,219.877775,-27.8585158,0.153,59312.41996530093,59321.95833333336,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575937,at2021sdu,AT 2021sdu,AT 2021sdu;ATLAS21bbpg;ZTF21abjrysr,17.849369,50.5749192,0.059,59400.40732640046,59413.95833333334,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575939,at2020acka,AT 2020acka,AT 2020acka;ATLAS21cuo;ZTF20acwytxn,238.7581163,16.3045387,0.338,59194.55357640046,59215.0,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575943,at2021yte,AT 2021yte,AT 2021yte;ZTF21acafvhf,103.7697222,12.6342157,0.053,59469.47592590278,59479.9583333333,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575947,at2020zso,AT 2020zso,AT 2020zso;Gaia20fqa;ZTF20acqoiyt;ATLAS20bfok,335.571358,-7.266372,0.0565,59165.15005790509,59192.186990740716,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575949,at2020riz,AT 2020riz,AT 2020riz;ZTF20abrnwfc;PS20jop,32.628146,9.074104,0.434,59061.46774305555,59079.95833333336,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575951,j145851,J145851,J145851,224.7152083333333,17.849416666666666,0.1165,54950.0,,optical,tde,secure,SDSS J145851.65+175057.9,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575953,at2019ehz,AT 2019ehz,AT 2019ehz;Gaia19bpt;ZTF19aarioci,212.424617,55.49105,0.074,58602.28498842593,58612.36413194444,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575968,at2023mhs,AT 2023mhs,AT 2023mhs;ATLAS23njv;ZTF23aaqdjhi,205.815338,19.2502509,0.0482,60125.300034699074,60133.95833333332,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575970,sdssj1342,SDSSJ1342,SDSSJ1342;J134244,205.68504166666662,5.515611111111111,0.0366,54968.0,,xray,tde,secure,SDSS J134244.41+053056.1,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
