event,field,program,star_id,classification,ef_classification,al_classification,ra,dec,ra_deg,dec_deg,t_0,t_eff,t_e,u_0,isource,ibase,icat,ctype,a_i,ogle_moa,related_event,extra_type
KMT-2024-BLG-2384,BLG31M0503,,035046,,X,not-ulens,18:15:36.85,-25:30:00.29,273.9035416667,-25.5000805556,60548.97897,,4.39,0.726,19.53,19.58,19.58,1.0,1.05,,,
KMT-2024-BLG-2385,BLG43M0802,,017766,,clear,clear,18:01:57.11,-27:47:31.88,270.4879583333,-27.7921888889,60556.62825,,11.03,0.498,19.28,18.33,18.33,1.0,1.46,,OB241165,
KMT-2024-BLG-2386,BLG01K0607,,059186,,clear,clear,17:50:53.70,-30:17:35.70,267.72375,-30.29325,60550.83081,,2.62,0.112,21.13,20.0,20.16,1.0,2.39,,,
KMT-2024-BLG-2387,BLG13N0806,,005213,,clear,clear,17:35:19.39,-34:44:02.11,263.8307916667,-34.7339194444,60584.06053,,59.72,0.993,19.11,18.9,18.9,2.0,3.44,,,
KMT-2024-BLG-2388,BLG21M0707,,007606,,clear,clear,17:55:20.92,-34:30:53.60,268.8371666667,-34.5148888889,60559.76922,,6.18,0.151,18.05,17.92,17.92,1.0,0.84,,MB24229,
KMT-2024-BLG-2389,BLG22N0607,,006416,,clear,clear,17:56:02.75,-33:26:34.40,269.0114583333,-33.4428888889,60586.83721,,26.2,0.898,17.89,17.75,17.75,1.0,1.24,,OB241322,
KMT-2024-BLG-2390,BLG32K0802,,054658,,clear,clear,18:06:58.84,-27:43:37.99,271.7451666667,-27.7272194444,60545.48012,,22.29,0.002,21.47,19.4,19.4,1.0,0.85,,,
KMT-2024-BLG-2391,BLG34T0807,,035550,,clear,clear,17:59:33.11,-32:24:00.00,269.8879583333,-32.4,60579.70894,,49.96,0.509,19.6,19.62,19.62,1.0,1.15,,,
KMT-2024-BLG-2392,SAO41T0505,,050400,,X,probable,17:51:31.43,-31:42:47.81,267.8809583333,-31.7132805556,60543.37827,,101.1,0.039,23.55,20.0,25.0,3.0,3.4,,,
KMT-2024-BLG-2393,SSO02K0101,,079305,,clear,clear,17:54:07.17,-28:50:53.66,268.529875,-28.8482388889,60557.53069,,14.22,0.31,19.98,20.0,20.22,2.0,1.87,,OB241152,
KMT-2024-BLG-2394,SAO02M0501,,102974,,clear,clear,17:56:37.19,-28:52:54.26,269.1549583333,-28.8817388889,60553.56476,,32.15,0.103,21.41,20.0,21.45,2.0,2.13,,,
KMT-2024-BLG-2395,BLG02N0106,,055087,,clear,clear,17:58:57.75,-29:21:46.58,269.740625,-29.3629388889,60555.52702,,5.4,0.431,19.37,19.22,19.22,1.0,1.31,,OB241161,
KMT-2024-BLG-2396,BLG04K0304,,076086,,clear,clear,18:01:58.38,-29:34:21.50,270.49325,-29.5726388889,60554.50361,,9.89,0.002,20.8,20.0,20.13,1.0,1.44,,,
KMT-2024-BLG-2397,BLG04K0806,,015916,,clear,clear,17:59:15.96,-29:19:14.41,269.8165,-29.3206694444,60564.0888,,14.74,0.505,18.06,18.02,18.02,1.0,1.16,,OB241160 MB24230,
KMT-2024-BLG-2398,BLG13K0308,,017843,,X,clear,17:33:08.64,-33:22:07.61,263.286,-33.3687805556,60552.18323,,22.13,0.688,19.96,20.0,21.56,2.0,5.29,,,
KMT-2024-BLG-2399,BLG15N0308,,034234,,clear,clear,17:39:54.20,-26:54:37.26,264.9758333333,-26.91035,60551.92084,,22.31,0.1,22.8,20.0,21.41,2.0,3.74,,,
KMT-2024-BLG-2400,BLG15N0603,,020949,,clear,clear,17:38:33.16,-27:34:52.68,264.6381666667,-27.5813,60554.88013,,10.46,0.54,20.05,20.0,20.02,2.0,2.59,,,
KMT-2024-BLG-2401,SAO17T0307,,067382,,clear,clear,17:43:18.62,-33:25:42.64,265.8275833333,-33.4285111111,60554.76935,,5.27,0.097,21.28,20.0,21.7,2.0,2.88,,,
KMT-2024-BLG-2402,BLG18K0407,,015290,,clear,clear,17:43:45.00,-25:56:09.38,265.9375,-25.9359388889,60554.95293,,11.59,0.858,19.68,19.73,19.73,2.0,2.79,,,
KMT-2024-BLG-2403,BLG18T0503,,067087,,clear,clear,17:43:29.03,-27:31:38.42,265.8709583333,-27.5273388889,60554.23899,,13.88,0.287,21.49,20.0,21.55,2.0,3.19,,,
KMT-2024-BLG-2404,SSO19M0502,,070563,,clear,clear,17:48:14.33,-24:28:13.37,267.0597083333,-24.4703805556,60553.40482,,26.47,0.026,23.17,20.0,21.64,2.0,2.64,,,
KMT-2024-BLG-2405,BLG19M0604,,034501,,X,clear,17:47:38.11,-24:13:01.70,266.9087916667,-24.2171388889,60553.95596,,33.52,0.032,23.63,20.0,20.31,2.0,2.17,,,
KMT-2024-BLG-2406,BLG19M0801,,068419,,clear,clear,17:46:22.21,-24:30:59.98,266.5925416667,-24.5166611111,60562.78601,,30.39,0.118,20.99,20.0,21.94,2.0,2.89,,,
KMT-2024-BLG-2407,SSO19N0703,,002289,,clear,clear,17:47:12.73,-25:24:42.55,266.8030416667,-25.4118194444,60605.65566,,103.82,0.133,20.79,17.92,17.92,4.0,4.18,,,
