asassn_id,other_ids,atel_tns,ra,dec,discovery_ut,v_g_mag,sdss,dss,vizier,spectroscopic_class,comments,ra_deg,dec_deg
ASASSN-26az,,-,16:21:19.69,-63:47:29.4,2026-02-21.03,17.02,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=18.3, g>18.1 on 2026-02-13.28, g=16.8 on 2026-02-14.29, g=17.4 on 2026-02-21.27",245.33204166666667,-63.7915
,SN 2026cju (ATLAS26blr),-,2:45:30.93,-54:17:43.1,2026-02-21.04,17.54,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2026/02/08.032, Type unknown",41.378875,-54.29530555555555
ASASSN-26av,,-,1:58:40.68,47:34:50.1,2026-02-21.09,15.97,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=21.5, g>17.4 on 2026-01-30.24, g=16.5 on 2026-01-31.19, g>16.9 on 2026-02-01.16, g>17.5 on 2026-02-06.21, g=16.2 on 2026-02-19.13, g=16.3 on 2026-02-21.10",29.669500000000003,47.58058333333334
ASASSN-26aw,,-,18:35:53.01,-42:31:38.9,2026-02-21.12,15.89,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=20.6, g>17.6 on 2026-02-17.38, g=16.9 on 2026-02-18.36, g=16.5 on 2026-02-21.37",278.970875,-42.52747222222222
ASASSN-26ax,,-,11:40:18.88,-39:45:9.2,2026-02-21.08,15.73,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>17.6 on 2026-02-17.39, g=16.9 on 2026-02-18.36, g=16.5 on 2026-02-21.37",175.07866666666666,-39.75255555555555
ASASSN-26ay,,-,2:26:23.52,-51:42:29.8,2026-02-21.04,13.93,SDSS,DSS,VIZIER,-,"CV candidate, matches to DES DR2 g=21.4, g>17.5 on 2026-02-15.02, g=15.1 on 2026-02-17.03, g=14.0 on 2026-02-18.07, g=14.4 on 2026-02-22.04",36.598000000000006,-51.70827777777778
ASASSN-26ba,,-,8:46:7.66,1:17:43.9,2026-02-20.23,15.43,SDSS,DSS,VIZIER,-,"CV candidate, matches to GSC2.4.2 g=23.8, g>18.1 on 2026-02-18.47, g=17.9 on 2026-02-19.34, g=15.7 on 2026-02-20.23, g=16.3 on 2026-02-23.10",131.5319166666667,1.2955277777777776
,SN2026dez (ATLAS26bty),-,14:15:47.49,-48:5:16.6,2026-02-19.31,15.91,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.012, discovered 2026/02/14.284, Type Ia",213.94787499999998,-48.087944444444446
ASASSN-26au,,-,17:25:53.9,-23:28:31.5,2026-02-18.33,15.82,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=20,5, g>16.1 on 2025-10-21.99, g=16.3 on 2026-02-01.38, g=16.4 on 2026-02-02.37, g=16.3 on 2026-02-19.33",261.4745833333334,-23.475416666666664
,SN2026cmv (ZTF26aafhnvs),-,16:7:59.09,-24:0:10,2026-02-17.28,16.19,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.017, discovered 2026/02/06.555, Type Ia",241.99620833333333,-24.002777777777776
ASASSN-26at,,-,18:15:1.25,-37:43:36.7,2026-02-16.36,15.94,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=19.8, g>17.5 on 2026-02-09.38, g=16.0 on 2026-02-10.38, g=16.8 on 2026-02-18.36",273.7552083333333,-37.72686111111111
,AT2026bzh (ZTF26aaervms),-,13:1:7.22,-11:25:16.1,2026-02-12.16,17.22,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2026/02/02.403, Type unknown",195.28008333333335,-11.421138888888889
,SN 2026bre (GOTO26ajs),-,10:56:29.81,-7:7:25.3,2026-02-12.16,17.15,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.05, discovered 2026/01/22.608, Type Ia",164.12420833333334,-7.123694444444444
ASASSN-26as,"CV candidate, no Vizier match, g>17.8 on 2026-02-07.24, g=16.0 on 2026-02-08.18, g=17.0 on 2026-02-13.18",-,8:55:43.51,-53:26:11.5,2026-02-12.2,16.54,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>17.8 on 2026-02-07.24, g=16.0 on 2026-02-08.18, g=17.0 on 2026-02-13.18",133.93129166666665,-53.436527777777776
ASASSN-26ar,,-,6:33:50.98,-41:46:25.1,2026-02-12.04,16.42,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>18.1 on 2026-02-10.22, g=16.8 on 2026-02-12.05, g=17.2 on 2026-02-12.05",98.46241666666667,-41.77363888888889
,SN2026bzg (ZTF26aaerslf),-,12:15:22.43,23:59:39.6,2026-02-11.27,16.32,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.025007, discovered 2026/02/01.323, Type Ia",183.84345833333333,23.994333333333334
,AT2026coj (KATS26C004),-,8:1:10.95,-3:43:14.3,2026-02-9.25,13.73,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2026/02/08.809, Type unknown",120.295625,-3.720638888888889
ASASSN-26aq,,-,12:44:0.18,-57:3:46.8,2026-02-9.18,16,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>17.8 on 2026-02-05.23, g=15.9 on 2026-02-07.31, g=16.4 on 2026-02-09.18",191.00074999999998,-57.062999999999995
,AT2026cih (ATLAS26bli),-,6:26:33.34,-54:6:39.9,2026-02-8.06,17.26,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.052333, discovered 2026/02/02.886, Type unknown",96.63891666666667,-54.11108333333333
,SN 2026bsu (ATLAS26bga),-,23:8:59.4,-88:59:11.6,2026-02-8.03,16.02,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.02041, discovered 2026/01/30.029, Type Ia",347.2475,-88.98655555555555
,SN 2026azk (ATLAS26ayr),-,1:4:14.94,-62:31:2.3,2026-02-8.04,16.41,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.029010, discovered 2026/01/21.039, Type unknown",16.062250000000002,-62.51730555555555
,SN 2026anq (ZTF26aabwols),-,8:44:55.41,64:55:9.9,2026-02-7.16,17.62,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.0247, discovered 2026/01/17.354, Type Ia",131.23087499999997,64.91941666666668
,SN 2026bnm (GOTO26ahp) (ATLAS26bfy) (ZTF26aaeexvz),-,12:37:42.99,33:26:5.4,2026-02-7.29,16.74,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.031209, discovered 2026/01/28.191, Type Ia",189.429125,33.43483333333333
,SN2026cbh (ATLAS26bie),-,0:12:55.45,33:21:25.9,2026-02-7.09,16.33,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.015858, discovered 2026/02/03.231, Type II",3.2310416666666666,33.357194444444445
,SN 2026auh (ZTF26aaczrao),-,8:2:12.64,-4:14:20.9,2026-02-7.11,16.64,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.034, discovered 2026/01/20.317, Type Ia",120.55266666666667,-4.239138888888889
,TCP J18035290-3127298,-,18:3:52.67,-31:27:26,2026-02-7.37,15.76,SDSS,DSS,VIZIER,-,"known nova, z unknown, discovered 2025-09-21.381",270.96945833333336,-31.45722222222222
,SN 2026bjz (GOTO26aea) (ZTF26aadsjom) (ATLAS26bft),-,12:18:3.59,50:27:10.2,2026-02-7.25,16.48,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.029621, discovered 2026/01/25.145, Type Ia",184.51495833333334,50.45283333333334
,SN 2026ail (ZTF26aabfoov) (ATLAS26awz) (GOTO26aij),-,7:51:51.12,55:5:27.6,2026-02-6.21,16.85,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.019597, discovered 2026/01/15.861, Type Ia-pec",117.963,55.091
,AT2026bsa (ZTF17aadeyog),-,8:10:56.38,36:49:42.8,2026-02-6.29,17.47,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.021502, discovered 2026/01/27.185, Type unknown",122.73491666666666,36.82855555555556
,SN2026azr (GOTO26vq),-,4:43:45.47,-15:49:1,2026-02-5.24,16.96,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.039, discovered 2026/01/19.454, Type Ia",70.93945833333333,-15.816944444444443
ASASSN-26ap,,-,6:14:48.48,-34:20:8.9,2026-02-5.2,13.77,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>17.0 on 2026-02-03.13, g=15.1 on 2026-02-04.09, g=14.2 on 2026-02-06.12",93.702,-34.33580555555556
,SN 2026aip (ZTF26aaawxpd),-,2:42:33.9,-27:21:2.6,2026-02-4.09,15.85,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.023, discovered 2026/01/14.112, Type Ia",40.64125,-27.350722222222224
,AT2026brt (ZTF26aaduffz),-,0:43:12.26,38:35:47.9,2026-02-3.12,14.92,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2026/01/26.134, Type unknown",10.801083333333333,38.59663888888889
,SN2026atb (ZTF26aacwiog),-,14:34:27.21,21:56:59.9,2026-01-29.32,15.59,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.017941, discovered 2026/01/19.492, Type Ia",218.613375,21.94997222222222
ASASSN-26ao,,-,13:12:4.11,-60:56:12.4,2026-01-28.35,15.61,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=17.6, g>17.0 on 2026-01-23.38, g=16.3 on 2026-01-24.00, g=16.1 on 2026-01-29.21",198.017125,-60.93677777777778
,SN2026azd (GOTO26tl),-,13:0:36.49,-6:28:26,2026-01-28.23,15.69,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.0156, discovered 2026/01/21.744, Type Ia-91T-like",195.15204166666666,-6.473888888888889
,SN 2026ayz (GOTO26th),-,10:33:50.27,-31:0:53.4,2026-01-25.11,15.3,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.009, discovered 2026/01/21.585, Type Ia-91T",158.45945833333334,-31.014833333333332
,SN 2026apb (ATLAS26awj),-,5:14:22.36,-60:47:20.7,2026-01-24.08,17.35,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.038517, discovered 2026/01/18.144, Type unknown",78.59316666666666,-60.78908333333333
,AT2026afe (ZTF26aabguwh),-,6:39:26.57,-21:49:19.6,2026-01-23.11,16.17,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2026/01/15.292, Type unknown",99.86070833333333,-21.82211111111111
,SN 2023kuy (= ATLAS23mmu),-,9:27:23.48,-32:0:31.1,2026-01-21.24,15.33,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.003624, discovered 2026/01/20.908, Type unknown",141.8478333333333,-32.00863888888889
,SN2026afi (ZTF26aabixva),-,9:38:44.42,-20:0:54.3,2026-01-20.24,17.43,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.036695, discovered 2026/01/15.372, Type Ia",144.68508333333332,-20.015083333333333
,AT2026ahr (ATLAS26aou),-,6:30:51.41,-74:35:46.8,2026-01-20.09,16.98,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2026/01/12.141, Type unknown",97.71420833333333,-74.59633333333333
,SN2026amc (ATLAS26aue),-,13:33:3.15,-16:14:28.7,2026-01-20.29,16.9,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.024107, discovered 2026/01/17.581, Type Ia",203.26312500000003,-16.241305555555556
ASASSN-26an,,-,6:57:11.13,-17:24:42.8,2026-01-19.31,13.99,SDSS,DSS,VIZIER,-,"CV candidate, matches to SDSS g=20.0 g>18.1 on 2026-01-16.2, g=14.4 on 2026-01-19.32, g=14.9 on 2026-01-21.14",104.296375,-17.41188888888889
,2026abj (ZTF26aabdibu),-,17:41:29.59,68:57:34.9,2026-01-18.64,17.02,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.041252, discovered 2026/01/14.512, Type Ia",265.3732916666667,68.95969444444445
,SN 2026kc (= ATLAS26aej) (= GOTO26dc) (= ZTF26aaaehuj),-,10:22:25.13,4:0:1.4,2026-01-18.24,16.4,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.022809, discovered 2026/01/10.087, Type Ia",155.60470833333335,4.000388888888889
,SN 2026pg (= ATLAS26ahc),-,12:42:3.3,0:41:41.8,2026-01-18.5,17.44,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.071241, discovered 2026/01/11.079, Type Ia",190.51375,0.6949444444444445
,AT2025aibn (= GOTO25mjm),-,3:36:21.8,-31:44:39.3,2026-01-17.04,16.7,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.038934, discovered 2025/12/23.445, Type unknown",54.090833333333336,-31.74425
,AT2026yi (= ATLAS26amo),-,13:45:0.71,-32:34:53,2026-01-17.26,16.22,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2026/01/12.075, Type unknown",206.25295833333334,-32.581388888888895
,AT2026nu (= ZTF22abnvnpb),-,9:27:7.17,62:45:24.2,2026-01-17.29,17.09,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.029702, discovered 2026/01/10.384, Type unknown",141.779875,62.75672222222222
,SN 2025afcr (= ZTF25acemaph),-,12:38:41.73,7:36:37.4,2026-01-17.49,17.11,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.1335, discovered 2025/11/24.544, Type SLSN-I",189.67387499999998,7.610388888888888
,SN 2026acd (= ATLAS26anf) (= ZTF26aabbzvl),-,12:12:12.65,13:13:18.5,2026-01-17.3,16.15,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.007582, discovered 2026/01/14.538, Type Ia",183.05270833333333,13.221805555555555
ASASSN-26al,,-,16:21:54.73,-63:36:53.1,2026-01-17.36,15.34,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>16.2 on 2025-10-26.99, g=15.8 on 2026-01-16.36, g=15.9 on 2026-01-19.36",245.47804166666668,-63.61475
