event,field,star_no,ra_j2000,ra_deg,dec_j2000,dec_deg,tmax_hjd,tmax_ut,tau,umin,amax,dmag,fbl,ibl,i0
2023-BLG-0674,BLG657.31,110762,18:18:12.54,274.55225,-29:59:50.7,-29.99741667,2460102.011,2023-06-06.51,33.099,0.223,4.564,1.648,1.0,20.307,20.307
2023-BLG-0675,BLG500.08,66311,17:54:55.28,268.73033333,-28:48:57.9,-28.81608333,2460106.375,2023-06-10.88,8.982,0.389,2.713,1.084,1.0,20.395,20.395
2023-BLG-0676,BLG500.08,232838,17:54:35.10,268.64625,-28:50:28.8,-28.84133333,2460102.016,2023-06-06.52,12.232,0.553,2.011,0.758,1.0,19.387,19.387
2023-BLG-0677,BLG500.11,51430,17:52:47.83,268.19929167,-28:52:30.5,-28.87513889,2460105.401,2023-06-09.90,1.457,0.337,3.090,1.225,1.0,19.407,19.407
2023-BLG-0678,BLG505.07,136653,17:55:20.21,268.83420833,-29:43:02.8,-29.71744444,2460162.715,2023-08-06.21,99.125,0.333,3.123,0.449,0.241,18.026,19.569
2023-BLG-0679,BLG505.14,134775,17:56:05.25,269.021875,-29:21:39.9,-29.36108333,2460126.253,2023-06-30.75,16.013,0.723,1.641,0.538,1.0,17.525,17.525
2023-BLG-0680,BLG505.18,150146,17:59:33.32,269.88883333,-29:04:05.7,-29.06825,2460112.272,2023-06-16.77,12.455,0.251,4.076,1.526,1.0,19.637,19.637
2023-BLG-0681,BLG505.26,135728,17:59:34.11,269.892125,-28:44:36.4,-28.74344444,2460143.625,2023-07-18.12,40.825,0.138,7.311,2.160,1.0,19.06,19.06
2023-BLG-0682,BLG505.32,177660,17:55:15.16,268.81316667,-28:36:43.1,-28.61197222,2460107.011,2023-06-11.51,7.547,0.033,30.344,3.372,0.727,19.553,19.9
2023-BLG-0683,BLG511.19,112435,18:04:24.45,271.101875,-27:19:36.5,-27.32680556,2460105.876,2023-06-10.38,17.847,0.032,31.635,2.355,0.253,19.21,20.703
2023-BLG-0684,BLG512.24,60268,18:01:06.31,270.27629167,-28:32:53.8,-28.54827778,2460145.499,2023-07-20.00,32.04,1.357,1.171,0.172,1.0,16.247,16.247
